id,short_code,name,classification,type,size,color,description_main,description_extra,manufacturer,part_number
hardware_nut_m3,nu3,Hardware Nut M3,hardware,nut,m3,,,,,
hardware_screw_countersunk_m3_black_10_mm_length_hex_head,cs3b10h,Hardware Screw Countersunk M3 Black 10 mm Length Hex Head,hardware,screw_countersunk,m3,black,10_mm_length,hex_head,,
hardware_screw_countersunk_m3_black_12_mm_length_hex_head,cs3b12h,Hardware Screw Countersunk M3 Black 12 mm Length Hex Head,hardware,screw_countersunk,m3,black,12_mm_length,hex_head,,
hardware_screw_countersunk_m3_black_16_mm_length_hex_head,cs3b16h,Hardware Screw Countersunk M3 Black 16 mm Length Hex Head,hardware,screw_countersunk,m3,black,16_mm_length,hex_head,,
hardware_screw_countersunk_m3_black_20_mm_length_hex_head,cs3b20h,Hardware Screw Countersunk M3 Black 20 mm Length Hex Head,hardware,screw_countersunk,m3,black,20_mm_length,hex_head,,
hardware_screw_countersunk_m3_black_25_mm_length_hex_head,cs3b25h,Hardware Screw Countersunk M3 Black 25 mm Length Hex Head,hardware,screw_countersunk,m3,black,25_mm_length,hex_head,,
hardware_screw_countersunk_m3_black_6_mm_length_hex_head,cs3b6h,Hardware Screw Countersunk M3 Black 6 mm Length Hex Head,hardware,screw_countersunk,m3,black,6_mm_length,hex_head,,
hardware_screw_countersunk_m3_black_8_mm_length_hex_head,cs3b8h,Hardware Screw Countersunk M3 Black 8 mm Length Hex Head,hardware,screw_countersunk,m3,black,8_mm_length,hex_head,,
packaging_tin_hinged_lid_169_mm_width_130_mm_height_18_mm_depth_350_ml_tinware_direct_t4066,,Packaging Tin Hinged Lid 169 mm Width 130 mm Height 18 mm Depth 350 Ml Tinware Direct T4066,packaging,tin_hinged_lid,169_mm_width_130_mm_height_18_mm_depth_350_ml,,,,tinware_direct,t4066
paper_sheet_a4_210_mm_width_297_mm_height_100_grams_per_meter_square_160_cie_mondi_a4_26626,,Paper Sheet A4 210 mm Width 297 mm Height 100 Grams Per Meter Square 160 Cie Mondi A4 26626,paper,sheet,a4_210_mm_width_297_mm_height,,100_grams_per_meter_square,160_cie,mondi,a4_26626
three_d_printer_filament_1_75_mm_pla_eco_black_reel_3dqf,,Three D Printer Filament 1 75 mm Pla Eco Black Reel 3Dqf,three_d_printer,filament,1_75_mm,pla_eco_black,reel,,3dqf,
three_d_printer_filament_1_75_mm_pla_eco_blue_light_reel_3dqf,,Three D Printer Filament 1 75 mm Pla Eco Blue Light Reel 3Dqf,three_d_printer,filament,1_75_mm,pla_eco_blue_light,reel,,3dqf,
